filename,Original Area,Original Perimeter,Original m10,Original m01,Original m11,Original m20,Original m02,Convex Hull Area,Convex Hull Perimeter,Convex Hull m10,Convex Hull m01,Convex Hull m11,Convex Hull m20,Convex Hull m02,# of Deficits,Area of Deficits
00000146.png,5801.0,330.2014070749283,254671.66666666666,449514.3333333333,19678241.0,12637042.833333332,40934661.5,5801.0,330.2014070749283,254671.66666666666,449514.3333333333,19678241.0,12637042.833333332,40934661.5,9,2950.5
00000147.png,5771.0,332.17306196689606,249052.5,450445.5,19256607.75,12214263.666666666,41229567.33333333,5771.0,332.17306196689606,249052.5,450445.5,19256607.75,12214263.666666666,41229567.33333333,13,2988.0
00000148.png,5594.5,332.24055993556976,241677.0,438120.5,18640532.208333332,11798643.916666666,40243261.416666664,5594.5,332.24055993556976,241677.0,438120.5,18640532.208333332,11798643.916666666,40243261.416666664,11,3380.0
00000149.png,5306.5,326.8941696882248,224971.16666666666,410780.5,17090378.875,10660717.083333332,37541780.916666664,5306.5,326.8941696882248,224971.16666666666,410780.5,17090378.875,10660717.083333332,37541780.916666664,8,3245.499999999998
00000150.png,4768.5,319.18658423423767,204813.16666666666,362330.5,15315431.958333332,9592564.416666666,32794583.083333332,4768.5,319.18658423423767,204813.16666666666,362330.5,15315431.958333332,9592564.416666666,32794583.083333332,8,2498.4999999999973
00000151.png,4244.0,308.63062512874603,181169.5,317121.5,13322525.0,8277182.333333333,28455553.0,4244.0,308.63062512874603,181169.5,317121.5,13322525.0,8277182.333333333,28455553.0,9,2315.4999999999995
00000152.png,3706.5,299.72966396808624,158893.8333333333,269245.6666666666,11374889.041666666,7157543.25,23828039.583333332,3706.5,299.72966396808624,158893.8333333333,269245.6666666666,11374889.041666666,7157543.25,23828039.583333332,9,1950.0
00000153.png,3176.0,289.4071035385132,136123.0,224095.66666666666,9500641.333333332,6036668.5,19524988.166666664,3176.0,289.4071035385132,136123.0,224095.66666666666,9500641.333333332,6036668.5,19524988.166666664,10,1280.5000000000005
00000154.png,3127.0,284.80509638786316,139207.0,211769.16666666666,9356187.666666666,6376903.333333333,17941003.0,3127.0,284.80509638786316,139207.0,211769.16666666666,9356187.666666666,6376903.333333333,17941003.0,7,1011.5000000000007
00000155.png,2909.5,282.9991374015808,131945.66666666666,190887.16666666666,8648209.458333332,6127591.583333333,15848147.416666666,2909.5,282.9991374015808,131945.66666666666,190887.16666666666,8648209.458333332,6127591.583333333,15848147.416666666,6,854.0000000000047
